#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 05 13 00 269  9.6 12.6  4.10 10.81  7.32 999 1034.7  10.5  11.9 999.0 99.0 99.00
2007 01 05 14 00 279  8.7 10.4  4.42 13.79  7.78 999 1034.5  10.5  11.8 999.0 99.0 99.00
2007 01 05 15 00 273 10.1 12.7  4.46 12.12  8.12 999 1034.7  10.9  11.9 999.0 99.0 99.00
2007 01 05 16 00 276  9.7 11.8  3.64 13.79  6.95 999 1034.9  10.8  11.9 999.0 99.0 99.00
2007 01 05 17 00 275 10.7 13.0  4.84 12.90  8.22 999 1034.6  11.1  11.9 999.0 99.0 99.00
2007 01 05 18 00 270  9.5 11.7  4.18 12.12  7.57 999 1034.7  11.4  11.9 999.0 99.0 99.00
2007 01 05 19 00 262 10.3 13.3  4.45 11.43  7.57 999 1035.2  11.5  11.9 999.0 99.0 99.00
2007 01 05 20 00 256 12.0 14.4  4.77 12.12  7.93 999 1034.2  11.4  11.9 999.0 99.0 99.00
2007 01 05 21 00 257 12.6 16.1  4.69 12.90  7.56 999 1033.5  11.4  11.9 999.0 99.0 99.00
2007 01 05 22 00 260 13.4 15.9  4.65 12.12  7.38 999 1033.2  11.5  11.9 999.0 99.0 99.00
2007 01 05 23 00 265 13.9 16.3  4.58 12.90  7.16 999 1032.5  11.5  11.9 999.0 99.0 99.00
2007 01 06 00 00 271 13.4 16.5  5.02 10.81  7.31 999 1033.2  11.5  11.9 999.0 99.0 99.00
2007 01 06 01 00 275 13.3 17.7  5.01 12.90  7.61 999 1033.2  11.6  11.9 999.0 99.0 99.00
2007 01 06 02 00 274 13.4 16.8  5.35 12.90  7.79 999 1033.2  11.6  11.9 999.0 99.0 99.00
2007 01 06 03 00 271 12.7 17.6  5.48 13.79  8.34 999 1033.0  11.7  11.9 999.0 99.0 99.00
2007 01 06 04 00 272 13.2 16.8  5.33 12.90  8.03 999 1033.3  11.8  11.9 999.0 99.0 99.00
2007 01 06 05 00 272 12.4 16.0  5.00 12.90  7.64 999 1033.3  11.6  11.9 999.0 99.0 99.00
2007 01 06 06 00 266 13.5 16.6  5.77 13.79  8.66 999 1033.0  11.6  11.9 999.0 99.0 99.00
2007 01 06 08 00 276 12.5 15.9  5.87 12.90  8.52 999 1033.6  11.5  11.8 999.0 99.0 99.00
2007 01 06 09 00 272 12.5 17.6  6.82 13.79  9.14 999 1033.2  11.7  11.8 999.0 99.0 99.00
2007 01 06 11 00 270 12.3 15.4  5.84 13.79  8.29 999 1033.5  11.4  11.8 999.0 99.0 99.00
2007 01 06 12 00 272 12.6 15.7  6.24 12.12  8.80 999 1033.3  11.5  11.8 999.0 99.0 99.00
2007 01 06 13 00 269 12.3 15.3  5.62 13.79  8.39 999 1032.8  11.6  11.8 999.0 99.0 99.00
2007 01 06 14 00 278 13.1 16.0  5.67 12.90  8.42 999 1033.5  11.8  11.8 999.0 99.0 99.00
2007 01 06 15 00 280 11.4 14.0  5.33 14.81  8.33 999 1033.8  11.6  11.8 999.0 99.0 99.00
2007 01 06 16 00 278 10.6 13.0  5.30 16.00  8.49 999 1034.2  11.8  11.8 999.0 99.0 99.00
2007 01 06 17 00 275 10.7 13.8  4.86 14.81  8.17 999 1034.5  11.7  11.8 999.0 99.0 99.00
2007 01 06 18 00 272 10.6 13.3  4.65 16.00  8.09 999 1035.1  11.7  11.8 999.0 99.0 99.00
2007 01 06 19 00 275  9.4 12.0  4.91 14.81  8.46 999 1035.8  11.8  11.8 999.0 99.0 99.00
2007 01 06 20 00 275  9.9 12.0  4.65 14.81  8.24 999 1035.5  11.9  11.8 999.0 99.0 99.00
2007 01 06 21 00 273  9.3 12.1  4.57 14.81  8.15 999 1035.0  11.9  11.9 999.0 99.0 99.00
2007 01 06 22 00 272 10.1 13.0  4.59 14.81  8.08 999 1034.8  11.9  11.9 999.0 99.0 99.00
2007 01 06 23 00 279  9.4 12.1  4.78 12.90  8.44 999 1035.3  12.0  11.9 999.0 99.0 99.00
2007 01 07 00 00 274  8.2 10.4  5.00 14.81  8.58 999 1035.7  12.1  11.9 999.0 99.0 99.00
2007 01 07 01 00 263  7.4  8.9  4.84 13.79  9.12 999 1035.8  11.9  11.9 999.0 99.0 99.00
2007 01 07 02 00 254  8.2 10.5  4.86 14.81  9.10 999 1035.8  11.9  11.9 999.0 99.0 99.00
2007 01 07 03 00 253  8.2 10.8  4.92 13.79  9.03 999 1035.7  11.9  11.8 999.0 99.0 99.00
2007 01 07 04 00 249  9.7 12.0  5.20 12.90  9.02 999 1035.9  11.8  11.8 999.0 99.0 99.00
2007 01 07 05 00 249  9.2 11.2  4.69 13.79  8.17 999 1036.3  11.9  11.8 999.0 99.0 99.00
2007 01 07 06 00 237  9.1 11.0  4.27 12.12  8.00 999 1036.2  11.9  11.8 999.0 99.0 99.00
2007 01 07 07 00 238 10.2 12.5  4.57 12.90  8.36 999 1036.5  12.0  11.8 999.0 99.0 99.00
2007 01 07 08 00 242 10.7 12.7  3.75 13.79  7.25 999 1036.2  12.0  11.8 999.0 99.0 99.00
2007 01 07 09 00 240 10.6 12.7  4.34 17.39  7.86 999 1035.8  12.0  11.8 999.0 99.0 99.00
2007 01 07 10 00 240 11.3 13.9  4.52 16.00  8.27 999 1035.7  12.1  11.8 999.0 99.0 99.00
2007 01 07 11 00 234 11.0 13.4  4.66 16.00  8.55 999 1035.6  12.1  11.8 999.0 99.0 99.00
2007 01 07 12 00 232 10.5 12.7  4.23 16.00  7.98 999 1035.8  12.1  11.8 999.0 99.0 99.00
2007 01 07 13 00 236 10.9 13.2  5.11 16.00  8.95 999 1036.0  12.2  11.8 999.0 99.0 99.00
2007 01 07 14 00 237 11.2 14.0  4.71 16.00  8.50 999 1035.9  12.2  11.8 999.0 99.0 99.00
2007 01 07 15 00 240 11.0 13.4  4.27 14.81  7.86 999 1036.1  12.2  11.8 999.0 99.0 99.00
2007 01 07 16 00 234 10.9 14.0  5.00 16.00  8.82 999 1036.1  12.1  11.8 999.0 99.0 99.00
2007 01 07 17 00 236 11.0 13.7  4.63 16.00  8.57 999 1036.6  12.2  11.8 999.0 99.0 99.00
2007 01 07 18 00 238 10.6 12.5  4.77 14.81  8.38 999 1037.4  12.3  11.8 999.0 99.0 99.00
2007 01 07 19 00 236 10.4 13.8  4.91 16.00  8.59 999 1037.7  12.4  11.8 999.0 99.0 99.00
2007 01 07 20 00 242 10.6 12.9  5.06 13.79  8.89 999 1037.6  12.4  11.8 999.0 99.0 99.00
